Time	P	T	E	Qls	Qmm
1984-02-02	1.8000	5.3000	0.6000	11800	2.8320
1984-02-03	6.1000	7.4000	0.7000	11400	2.7360
1984-02-04	1.8000	4.4000	0.5000	13100	3.1440
1984-02-05	0.0000	5.2000	0.6000	9450	2.2680
1984-02-06	0.0000	10.5000	0.9000	10600	2.5440
1984-02-07	3.5000	12.5000	1.1000	10600	2.5440
1984-02-08	10.0000	4.7000	0.6000	12200	2.9280
1984-02-09	0.0000	3.1000	0.5000	15700	3.7680
1984-02-10	2.0000	2.9000	0.5000	10200	2.4480
1984-02-11	9.1000	5.2000	0.7000	11400	2.7360
1984-02-12	3.7000	3.6000	0.6000	10600	2.5440
1984-02-13	23.5000	3.0000	0.5000	9050	2.1720
1984-02-14	1.6000	2.3000	0.5000	14800	3.5520
1984-02-15	0.0000	1.6000	0.5000	15700	3.7680
1984-02-16	2.9000	5.4000	0.7000	12600	3.0240
1984-02-17	3.9000	5.8000	0.8000	14000	3.3600
1984-02-18	1.3000	4.1000	0.7000	16600	3.9840
1984-02-19	0.6000	3.3000	0.6000	14400	3.4560
1984-02-20	0.1000	1.9000	0.5000	11400	2.7360
1984-02-21	1.6000	4.0000	0.7000	11800	2.8320
1984-02-22	1.8000	4.1000	0.7000	11400	2.7360
1984-02-23	0.6000	3.4000	0.7000	11000	2.6400
1984-02-24	0.0000	6.0000	0.9000	10200	2.4480
1984-02-25	0.7000	4.3000	0.7000	8300	1.9920
1984-02-26	3.1000	3.9000	0.7000	5950	1.4280
1984-02-27	0.3000	3.6000	0.7000	4440	1.0656
1984-02-28	0.0000	1.9000	0.6000	7950	1.9080
1984-02-29	0.0000	2.6000	0.7000	7600	1.8240
1984-03-01	0.0000	2.6000	0.6000	6250	1.5000
1984-03-02	1.2000	1.8000	0.6000	5950	1.4280
1984-03-03	4.0000	5.1000	0.9000	4700	1.1280
1984-03-04	2.9000	3.4000	0.7000	4440	1.0656
1984-03-05	5.3000	2.3000	0.6000	4440	1.0656
1984-03-06	4.1000	3.1000	0.7000	7600	1.8240
1984-03-07	1.7000	4.3000	0.8000	6950	1.6680
1984-03-08	1.1000	4.0000	0.8000	6250	1.5000
1984-03-09	0.0000	4.0000	0.8000	5650	1.3560
1984-03-10	3.6000	3.9000	0.8000	5000	1.2000
1984-03-11	3.5000	1.7000	0.6000	3940	0.9456
1984-03-12	0.2000	2.7000	0.7000	3690	0.8856
1984-03-13	0.0000	5.7000	1.1000	5650	1.3560
1984-03-14	0.0000	8.2000	1.3000	3940	0.9456
1984-03-15	0.0000	8.5000	1.4000	3940	0.9456
1984-03-16	0.0000	10.3000	1.5000	4190	1.0056
1984-03-17	0.0000	9.2000	1.4000	4190	1.0056
1984-03-18	0.0000	9.2000	1.5000	3040	0.7296
1984-03-19	0.0000	10.1000	1.6000	1960	0.4704
1984-03-20	0.0000	9.4000	1.5000	2280	0.5472
1984-03-21	2.1000	7.8000	1.4000	2640	0.6336
1984-03-22	0.0000	7.5000	1.3000	2640	0.6336
1984-03-23	0.0000	7.7000	1.4000	2640	0.6336
1984-03-24	0.0000	8.3000	1.5000	2280	0.5472
1984-03-25	0.2000	10.5000	1.7000	1640	0.3936
1984-03-26	8.6000	6.8000	1.3000	1640	0.3936
1984-03-27	2.2000	5.9000	1.2000	3690	0.8856
1984-03-28	4.1000	6.7000	1.3000	3240	0.7776
1984-03-29	0.0000	4.5000	1.1000	3040	0.7296
1984-03-30	2.5000	8.0000	1.5000	2640	0.6336
1984-03-31	0.1000	8.3000	1.6000	3040	0.7296
1984-04-01	5.3000	8.2000	1.6000	1640	0.3936
1984-04-02	0.2000	10.9000	1.9000	1960	0.4704
1984-04-03	0.0000	12.5000	2.2000	2280	0.5472
1984-04-04	1.9000	12.5000	2.2000	2280	0.5472
1984-04-05	2.0000	7.0000	1.5000	3240	0.7776
1984-04-06	3.8000	8.8000	1.7000	3240	0.7776
1984-04-07	6.6000	11.7000	2.1000	6250	1.5000
1984-04-08	0.1000	7.7000	1.6000	3440	0.8256
1984-04-09	0.0000	6.2000	1.4000	3240	0.7776
1984-04-10	2.2000	6.1000	1.4000	4190	1.0056
1984-04-11	16.8000	5.0000	1.3000	6250	1.5000
1984-04-12	6.6000	3.1000	1.1000	9450	2.2680
1984-04-13	0.0000	5.1000	1.3000	9050	2.1720
1984-04-14	4.1000	5.4000	1.4000	7600	1.8240
1984-04-15	3.4000	4.6000	1.3000	7250	1.7400
1984-04-16	3.1000	2.5000	1.0000	5000	1.2000
1984-04-17	3.2000	3.2000	1.1000	9450	2.2680
1984-04-18	0.3000	4.6000	1.3000	11400	2.7360
1984-04-19	4.3000	2.6000	1.1000	10200	2.4480
1984-04-20	0.1000	3.1000	1.1000	9450	2.2680
1984-04-21	2.9000	6.1000	1.6000	8700	2.0880
1984-04-22	2.1000	5.2000	1.4000	7600	1.8240
1984-04-23	1.7000	6.2000	1.6000	5300	1.2720
1984-04-24	0.1000	7.2000	1.8000	6950	1.6680
1984-04-25	0.0000	2.0000	1.0000	7600	1.8240
1984-04-26	0.0000	3.4000	1.2000	6600	1.5840
1984-04-27	0.9000	3.5000	1.2000	5300	1.2720
1984-04-28	0.0000	3.6000	1.3000	5950	1.4280
1984-04-29	0.0000	8.2000	2.0000	5000	1.2000
1984-04-30	0.0000	11.6000	2.5000	3440	0.8256
1984-05-01	0.0000	12.0000	2.6000	3040	0.7296
1984-05-02	0.0000	13.0000	2.8000	4700	1.1280
1984-05-03	1.8000	10.9000	2.4000	4190	1.0056
1984-05-04	6.8000	10.0000	2.3000	4700	1.1280
1984-05-05	0.4000	8.5000	2.1000	5300	1.2720
1984-05-06	0.0000	9.5000	2.2000	4440	1.0656
1984-05-07	0.3000	10.2000	2.4000	3240	0.7776
1984-05-08	0.5000	13.2000	2.9000	3440	0.8256
1984-05-09	3.2000	10.9000	2.5000	3240	0.7776
1984-05-10	0.3000	9.6000	2.3000	3440	0.8256
1984-05-11	7.7000	9.3000	2.3000	3040	0.7296
1984-05-12	1.4000	7.3000	2.0000	3690	0.8856
1984-05-13	24.5000	5.4000	1.7000	3940	0.9456
1984-05-14	3.5000	5.3000	1.7000	9450	2.2680
1984-05-15	7.4000	5.9000	1.8000	11400	2.7360
1984-05-16	6.6000	5.1000	1.7000	10200	2.4480
1984-05-17	2.1000	6.0000	1.8000	14000	3.3600
1984-05-18	0.0000	7.2000	2.0000	12600	3.0240
1984-05-19	0.3000	8.9000	2.3000	12200	2.9280
1984-05-20	4.1000	8.7000	2.3000	11000	2.6400
1984-05-21	0.0000	11.0000	2.6000	7250	1.7400
1984-05-22	1.5000	14.2000	3.2000	6950	1.6680
1984-05-23	4.1000	10.3000	2.5000	7950	1.9080
1984-05-24	0.0000	13.3000	3.0000	7600	1.8240
1984-05-25	0.0000	16.2000	3.6000	7250	1.7400
1984-05-26	0.0000	16.2000	3.6000	5300	1.2720
1984-05-27	0.9000	10.8000	2.7000	4700	1.1280
1984-05-28	0.0000	11.0000	2.7000	3440	0.8256
1984-05-29	0.0000	14.6000	3.3000	4440	1.0656
1984-05-30	0.0000	11.9000	2.9000	4190	1.0056
1984-05-31	0.0000	10.8000	2.7000	4190	1.0056
1984-06-01	2.7000	10.6000	2.7000	3940	0.9456
1984-06-02	1.1000	11.4000	2.8000	3940	0.9456
1984-06-03	0.0000	15.4000	3.5000	3690	0.8856
1984-06-04	0.2000	18.2000	4.0000	2640	0.6336
1984-06-05	17.3000	15.8000	3.6000	3040	0.7296
1984-06-06	0.1000	9.9000	2.6000	3690	0.8856
1984-06-07	5.9000	9.5000	2.5000	3940	0.9456
1984-06-08	0.0000	9.3000	2.5000	3940	0.9456
1984-06-09	2.7000	10.4000	2.7000	3240	0.7776
1984-06-10	0.2000	10.7000	2.7000	2640	0.6336
1984-06-11	2.3000	9.6000	2.6000	2440	0.5856
1984-06-12	0.2000	10.8000	2.7000	2440	0.5856
1984-06-13	0.1000	12.6000	3.1000	2280	0.5472
1984-06-14	8.4000	12.8000	3.1000	2440	0.5856
1984-06-15	9.0000	12.9000	3.1000	2840	0.6816
1984-06-16	1.3000	12.7000	3.1000	4190	1.0056
1984-06-17	0.0000	11.7000	2.9000	3440	0.8256
1984-06-18	0.0000	16.4000	3.7000	2440	0.5856
1984-06-19	0.2000	15.2000	3.5000	2280	0.5472
1984-06-20	0.0000	14.6000	3.4000	1960	0.4704
1984-06-21	0.0000	15.4000	3.6000	2120	0.5088
1984-06-22	0.0000	15.5000	3.6000	1800	0.4320
1984-06-23	0.0000	12.3000	3.0000	1640	0.3936
1984-06-24	0.0000	11.8000	2.9000	1520	0.3648
1984-06-25	0.0000	17.1000	3.9000	1640	0.3936
1984-06-26	0.5000	19.9000	4.4000	1520	0.3648
1984-06-27	8.2000	15.4000	3.6000	1520	0.3648
1984-06-28	0.0000	14.1000	3.3000	1520	0.3648
1984-06-29	19.0000	12.7000	3.1000	1520	0.3648
1984-06-30	0.0000	11.1000	2.8000	3690	0.8856
1984-07-01	6.6000	12.8000	3.1000	2280	0.5472
1984-07-02	0.7000	11.5000	2.9000	1960	0.4704
1984-07-03	0.4000	15.2000	3.5000	1960	0.4704
1984-07-04	3.4000	17.2000	3.8000	1800	0.4320
1984-07-05	10.2000	16.5000	3.7000	1960	0.4704
1984-07-06	0.0000	16.5000	3.7000	3440	0.8256
1984-07-07	0.0000	18.3000	4.0000	1800	0.4320
1984-07-08	0.0000	21.6000	4.6000	1520	0.3648
1984-07-09	19.9000	20.6000	4.4000	1410	0.3384
1984-07-10	0.0000	11.6000	2.8000	2840	0.6816
1984-07-11	0.0000	11.9000	2.9000	2640	0.6336
1984-07-12	0.0000	13.4000	3.1000	1800	0.4320
1984-07-13	0.0000	14.7000	3.3000	1520	0.3648
1984-07-14	0.0000	15.4000	3.5000	1410	0.3384
1984-07-15	0.0000	16.6000	3.6000	1300	0.3120
1984-07-16	0.4000	18.0000	3.9000	1190	0.2856
1984-07-17	2.2000	20.5000	4.3000	1190	0.2856
1984-07-18	2.8000	20.0000	4.2000	1190	0.2856
1984-07-19	17.7000	18.2000	3.9000	1410	0.3384
1984-07-20	7.0000	16.9000	3.7000	4190	1.0056
1984-07-21	9.7000	17.3000	3.7000	3240	0.7776
1984-07-22	0.2000	19.2000	4.0000	2640	0.6336
1984-07-23	1.5000	19.9000	4.1000	1960	0.4704
1984-07-24	7.6000	19.2000	4.0000	2280	0.5472
1984-07-25	0.2000	18.3000	3.8000	2440	0.5856
1984-07-26	0.1000	17.5000	3.7000	2120	0.5088
1984-07-27	0.0000	13.4000	3.0000	2280	0.5472
1984-07-28	0.0000	12.0000	2.8000	1960	0.4704
1984-07-29	0.0000	12.3000	2.8000	1520	0.3648
1984-07-30	0.2000	14.7000	3.2000	1520	0.3648
1984-07-31	0.0000	16.1000	3.4000	1410	0.3384
1984-08-01	2.3000	14.8000	3.2000	1300	0.3120
1984-08-02	5.6000	12.6000	2.8000	1410	0.3384
1984-08-03	3.9000	12.5000	2.8000	1800	0.4320
1984-08-04	0.0000	15.2000	3.2000	1960	0.4704
1984-08-05	0.0000	17.6000	3.5000	1640	0.3936
1984-08-06	0.0000	20.5000	4.0000	1410	0.3384
1984-08-07	0.1000	20.6000	4.0000	1080	0.2592
1984-08-08	17.9000	21.1000	4.0000	1000	0.2400
1984-08-09	1.3000	19.7000	3.8000	2440	0.5856
1984-08-10	2.4000	20.0000	3.8000	1800	0.4320
1984-08-11	0.4000	19.1000	3.6000	1300	0.3120
1984-08-12	0.3000	21.2000	3.9000	1080	0.2592
1984-08-13	10.1000	17.4000	3.4000	1080	0.2592
1984-08-14	1.8000	15.9000	3.1000	1800	0.4320
1984-08-15	17.8000	14.5000	2.9000	1520	0.3648
1984-08-16	6.0000	13.0000	2.6000	4440	1.0656
1984-08-17	5.3000	13.5000	2.7000	2640	0.6336
1984-08-18	0.7000	12.9000	2.6000	3940	0.9456
1984-08-19	1.6000	9.9000	2.1000	2280	0.5472
1984-08-20	0.0000	9.6000	2.1000	1960	0.4704
1984-08-21	0.1000	12.6000	2.5000	2120	0.5088
1984-08-22	0.0000	12.9000	2.5000	2440	0.5856
1984-08-23	0.0000	11.1000	2.3000	2280	0.5472
1984-08-24	0.0000	12.7000	2.4000	1960	0.4704
1984-08-25	0.0000	14.5000	2.7000	1640	0.3936
1984-08-26	6.8000	16.7000	3.0000	1960	0.4704
1984-08-27	2.2000	16.8000	3.0000	1640	0.3936
1984-08-28	6.8000	15.2000	2.7000	2120	0.5088
1984-08-29	5.9000	13.8000	2.5000	2280	0.5472
1984-08-30	2.3000	13.8000	2.5000	2840	0.6816
1984-08-31	0.5000	13.8000	2.5000	2280	0.5472
1984-09-01	0.4000	13.6000	2.4000	2280	0.5472
1984-09-02	0.0000	12.0000	2.2000	1410	0.3384
1984-09-03	0.0000	9.9000	1.9000	1410	0.3384
1984-09-04	0.0000	12.7000	2.3000	1640	0.3936
1984-09-05	3.7000	14.6000	2.5000	1800	0.4320
1984-09-06	1.9000	15.8000	2.6000	2640	0.6336
1984-09-07	5.1000	15.2000	2.5000	2280	0.5472
1984-09-08	0.2000	15.0000	2.5000	1800	0.4320
1984-09-09	4.8000	16.7000	2.7000	1800	0.4320
1984-09-10	5.2000	10.8000	1.9000	1960	0.4704
1984-09-11	0.0000	6.6000	1.4000	2280	0.5472
1984-09-12	0.0000	7.4000	1.5000	1960	0.4704
1984-09-13	12.2000	8.4000	1.6000	1640	0.3936
1984-09-14	13.1000	7.2000	1.4000	2120	0.5088
1984-09-15	0.0000	9.0000	1.6000	6950	1.6680
1984-09-16	0.1000	7.7000	1.4000	3240	0.7776
1984-09-17	1.3000	8.8000	1.6000	2640	0.6336
1984-09-18	4.6000	7.8000	1.4000	2840	0.6816
1984-09-19	1.0000	7.8000	1.4000	2640	0.6336
1984-09-20	0.0000	8.8000	1.5000	2840	0.6816
1984-09-21	0.0000	9.9000	1.6000	2840	0.6816
1984-09-22	0.0000	12.1000	1.8000	2440	0.5856
1984-09-23	0.0000	12.3000	1.8000	1410	0.3384
1984-09-24	0.0000	8.5000	1.4000	1640	0.3936
1984-09-25	0.0000	5.7000	1.1000	1640	0.3936
1984-09-26	0.0000	5.0000	1.0000	1800	0.4320
1984-09-27	0.0000	5.8000	1.1000	1640	0.3936
1984-09-28	0.0000	6.0000	1.1000	1520	0.3648
1984-09-29	0.0000	7.2000	1.2000	1410	0.3384
1984-09-30	0.0000	10.0000	1.5000	1410	0.3384
1984-10-01	0.0000	11.8000	1.6000	1300	0.3120
1984-10-02	0.0000	11.4000	1.6000	1190	0.2856
1984-10-03	0.0000	9.7000	1.4000	1190	0.2856
1984-10-04	0.0000	7.7000	1.2000	1080	0.2592
1984-10-05	0.0000	9.7000	1.3000	1190	0.2856
1984-10-06	0.0000	13.0000	1.6000	1080	0.2592
1984-10-07	0.0000	12.2000	1.5000	1000	0.2400
1984-10-08	0.0000	10.7000	1.4000	1080	0.2592
1984-10-09	0.0000	9.9000	1.3000	1190	0.2856
1984-10-10	33.8000	11.4000	1.4000	1190	0.2856
1984-10-11	12.9000	6.2000	1.0000	5000	1.2000
1984-10-12	0.5000	8.4000	1.1000	5950	1.4280
1984-10-13	0.3000	11.9000	1.4000	3040	0.7296
1984-10-14	0.0000	8.8000	1.1000	2280	0.5472
1984-10-15	0.0000	6.7000	0.9000	1960	0.4704
1984-10-16	0.0000	5.4000	0.8000	1800	0.4320
1984-10-17	0.0000	8.4000	1.1000	1520	0.3648
1984-10-18	0.0000	5.8000	0.8000	1640	0.3936
1984-10-19	0.0000	3.4000	0.6000	1520	0.3648
1984-10-20	0.0000	3.8000	0.7000	1640	0.3936
1984-10-21	0.0000	0.8000	0.4000	1520	0.3648
1984-10-22	2.6000	3.2000	0.6000	1640	0.3936
1984-10-23	0.0000	7.6000	0.9000	1960	0.4704
1984-10-24	0.0000	6.8000	0.8000	2120	0.5088
1984-10-25	0.0000	7.8000	0.9000	1960	0.4704
1984-10-26	2.7000	12.3000	1.2000	2440	0.5856
1984-10-27	26.2000	12.4000	1.2000	2440	0.5856
1984-10-28	2.2000	6.5000	0.8000	3690	0.8856
1984-10-29	0.0000	4.2000	0.6000	2640	0.6336
1984-10-30	0.0000	5.9000	0.7000	2840	0.6816
1984-10-31	0.0000	10.1000	1.0000	2840	0.6816
1984-11-01	0.0000	10.0000	1.0000	1960	0.4704
1984-11-02	0.0000	9.0000	0.9000	2640	0.6336
1984-11-03	0.0000	10.2000	1.0000	2640	0.6336
1984-11-04	0.0000	10.2000	0.9000	1960	0.4704
1984-11-05	0.0000	7.9000	0.8000	1960	0.4704
1984-11-06	0.0000	6.8000	0.7000	1960	0.4704
1984-11-07	0.0000	6.5000	0.7000	1800	0.4320
1984-11-08	0.0000	7.1000	0.7000	1640	0.3936
1984-11-09	0.0000	7.8000	0.7000	1520	0.3648
1984-11-10	10.3000	9.8000	0.8000	1800	0.4320
1984-11-11	3.3000	4.6000	0.5000	2120	0.5088
1984-11-12	4.3000	4.9000	0.5000	2280	0.5472
1984-11-13	5.8000	10.6000	0.9000	2840	0.6816
1984-11-14	7.0000	11.5000	0.9000	3440	0.8256
1984-11-15	0.1000	1.5000	0.3000	3940	0.9456
1984-11-16	3.5000	6.7000	0.6000	4700	1.1280
1984-11-17	13.0000	12.8000	0.9000	3240	0.7776
1984-11-18	0.0000	0.7000	0.3000	3440	0.8256
1984-11-19	10.6000	3.4000	0.4000	3940	0.9456
1984-11-20	2.3000	8.3000	0.7000	10200	2.4480
1984-11-21	12.9000	7.0000	0.6000	10600	2.5440
1984-11-22	9.5000	10.4000	0.7000	16200	3.8880
1984-11-23	1.3000	4.4000	0.5000	17900	4.2960
1984-11-24	3.5000	1.3000	0.3000	15700	3.7680
1984-11-25	1.1000	0.4000	0.3000	14000	3.3600
1984-11-26	0.0000	-1.3000	0.2000	12200	2.9280
1984-11-27	0.0000	-3.2000	0.1000	10600	2.5440
1984-11-28	0.0000	0.7000	0.3000	9050	2.1720
1984-11-29	1.0000	4.4000	0.4000	8700	2.0880
1984-11-30	4.8000	6.2000	0.5000	9050	2.1720
1984-12-01	0.0000	4.5000	0.4000	8700	2.0880
1984-12-02	0.5000	6.8000	0.5000	8300	1.9920
1984-12-03	10.1000	6.1000	0.5000	8300	1.9920
1984-12-04	2.2000	4.0000	0.4000	10200	2.4480
1984-12-05	0.0000	6.2000	0.5000	8700	2.0880
1984-12-06	0.3000	6.5000	0.5000	8300	1.9920
1984-12-07	5.7000	7.4000	0.5000	7950	1.9080
1984-12-08	27.9000	2.9000	0.3000	11400	2.7360
1984-12-09	0.0000	-0.1000	0.2000	17500	4.2000
1984-12-10	0.0000	-0.3000	0.2000	12600	3.0240
1984-12-11	0.0000	0.9000	0.2000	12200	2.9280
1984-12-12	0.0000	2.0000	0.3000	14000	3.3600
1984-12-13	0.0000	2.1000	0.3000	11800	2.8320
1984-12-14	0.0000	0.6000	0.2000	10600	2.5440
1984-12-15	0.0000	4.7000	0.4000	10200	2.4480
1984-12-16	0.0000	4.4000	0.4000	9050	2.1720
1984-12-17	0.0000	0.5000	0.2000	7950	1.9080
1984-12-18	0.0000	-0.3000	0.2000	6950	1.6680
1984-12-19	0.0000	-5.3000	0.0000	6250	1.5000
1984-12-20	0.0000	-3.6000	0.0000	6950	1.6680
1984-12-21	0.0000	-3.4000	0.1000	5300	1.2720
1984-12-22	0.0000	-2.9000	0.1000	4440	1.0656
1984-12-23	0.0000	-2.2000	0.1000	4700	1.1280
1984-12-24	0.0000	-0.7000	0.2000	4440	1.0656
1984-12-25	0.0000	1.7000	0.3000	6600	
1984-12-26	0.0000	8.4000	0.6000	6600	
1984-12-27	4.0000	9.4000	0.6000	6600	
1984-12-28	5.9000	4.9000	0.4000	6600	
1984-12-29	0.1000	2.6000	0.3000	6600	
1984-12-30	0.3000	-1.0000	0.2000	6600	
1984-12-31	0.0000	-2.1000	0.1000	6600	
1985-01-01	0.0000	-3.4000	0.1000	2470	
1985-01-02	0.0000	-3.0000	0.1000	2470	
1985-01-03	0.0000	-3.6000	0.1000	2470	
1985-01-04	0.0000	-2.1000	0.1000	2470	
1985-01-05	0.0000	-2.4000	0.1000	2470	
1985-01-06	0.0000	-2.3000	0.1000	2470	
1985-01-07	0.0000	-3.2000	0.1000	2470	
1985-01-08	0.0000	-3.8000	0.0000	2470	
1985-01-09	0.0000	-4.3000	0.0000	2470	
1985-01-10	0.0000	-4.9000	0.0000	2470	
1985-01-11	0.0000	-3.8000	0.1000	2470	
1985-01-12	0.0000	-3.2000	0.1000	2470	
1985-01-13	5.8000	2.6000	0.3000	2470	
1985-01-14	5.4000	5.2000	0.5000	2820	0.6768
1985-01-15	2.4000	5.2000	0.5000	4050	0.9720
1985-01-16	0.3000	1.9000	0.3000	3630	0.8712
1985-01-17	11.5000	2.9000	0.4000	3420	0.8208
1985-01-18	1.8000	1.5000	0.3000	4830	1.1592
1985-01-19	0.1000	-0.6000	0.2000	4050	0.9720
1985-01-20	4.0000	2.7000	0.4000	4050	0.9720
1985-01-21	1.3000	3.6000	0.4000	3630	0.8712
1985-01-22	0.0000	-0.7000	0.2000	4310	1.0344
1985-01-23	2.3000	-0.6000	0.2000	4570	1.0968
1985-01-24	0.0000	1.2000	0.3000	4310	1.0344
1985-01-25	0.0000	-1.7000	0.2000	4310	1.0344
1985-01-26	5.6000	-0.9000	0.2000	4050	0.9720
1985-01-27	40.1000	3.4000	0.5000	11900	2.8560
1985-01-28	0.0000	1.6000	0.3000	29000	6.9600
1985-01-29	1.0000	1.4000	0.3000	22500	5.4000
1985-01-30	5.8000	3.9000	0.5000	20100	4.8240
1985-01-31	3.9000	2.2000	0.4000	20100	4.8240
1985-02-01	0.1000	-0.1000	0.3000	17300	4.1520
1985-02-02	0.0000	-1.2000	0.2000	15900	3.8160
1985-02-03	0.0000	-1.8000	0.2000	10300	2.4720
1985-02-04	0.0000	-0.3000	0.3000	8700	2.0880
1985-02-05	0.0000	0.6000	0.3000	9100	2.1840
1985-02-06	0.0000	-0.6000	0.3000	8700	2.0880
1985-02-07	0.0000	1.6000	0.4000	6600	1.5840
1985-02-08	0.0000	1.9000	0.4000	6300	1.5120
1985-02-09	8.0000	5.2000	0.7000	6300	1.5120
1985-02-10	6.4000	0.9000	0.4000	8000	1.9200
1985-02-11	1.1000	0.4000	0.3000	5650	1.3560
1985-02-12	10.1000	2.7000	0.5000	6600	1.5840
1985-02-13	0.2000	2.0000	0.5000	10300	2.4720
1985-02-14	0.0000	1.0000	0.4000	8350	2.0040
1985-02-15	2.6000	0.6000	0.4000	8000	1.9200
1985-02-16	0.8000	-2.7000	0.2000	8000	1.9200
1985-02-17	0.0000	-1.9000	0.2000	5650	1.3560
1985-02-18	8.6000	-2.0000	0.2000	4570	1.0968
1985-02-19	5.2000	-0.4000	0.3000	7600	1.8240
1985-02-20	0.2000	0.3000	0.4000	6600	1.5840
1985-02-21	7.2000	1.9000	0.5000	5950	1.4280
1985-02-22	3.0000	3.6000	0.7000	11900	2.8560
1985-02-23	12.3000	2.3000	0.6000	14100	3.3840
1985-02-24	13.5000	-0.1000	0.4000	17300	4.1520
1985-02-25	3.9000	-1.5000	0.3000	15900	3.8160
1985-02-26	0.1000	-1.9000	0.3000	16800	4.0320
1985-02-27	0.0000	-2.3000	0.2000	15000	3.6000
1985-02-28	0.0000	-3.6000	0.1000	10700	2.5680
1985-03-01	0.0000	-1.2000	0.3000	9500	2.2800
1985-03-02	2.1000	0.3000	0.4000	9100	2.1840
1985-03-03	0.0000	0.6000	0.5000	6900	1.6560
1985-03-04	0.0000	3.7000	0.8000	7250	1.7400
1985-03-05	0.0000	5.9000	1.0000	7600	1.8240
1985-03-06	0.9000	4.7000	0.9000	7600	1.8240
1985-03-07	0.1000	1.3000	0.6000	8350	2.0040
1985-03-08	0.0000	1.8000	0.6000	7600	1.8240
1985-03-09	0.0000	2.1000	0.7000	7250	1.7400
1985-03-10	0.0000	-0.5000	0.4000	6300	1.5120
1985-03-11	0.0000	-2.1000	0.3000	4050	0.9720
1985-03-12	0.6000	-1.8000	0.3000	6600	1.5840
1985-03-13	3.5000	-1.8000	0.3000	6300	1.5120
1985-03-14	0.1000	-0.2000	0.5000	5650	1.3560
1985-03-15	0.0000	-0.8000	0.4000	5350	1.2840
1985-03-16	0.0000	0.1000	0.5000	4310	1.0344
1985-03-17	0.0000	-0.7000	0.5000	4050	0.9720
1985-03-18	0.0000	1.9000	0.7000	3000	0.7200
1985-03-19	0.0000	3.2000	0.9000	4310	1.0344
1985-03-20	0.0000	1.7000	0.7000	4310	1.0344
1985-03-21	0.0000	5.1000	1.1000	4050	0.9720
1985-03-22	0.0000	7.7000	1.4000	3630	0.8712
1985-03-23	0.0000	8.6000	1.5000	3630	0.8712
1985-03-24	2.7000	10.1000	1.7000	3630	0.8712
1985-03-25	6.2000	4.8000	1.1000	3420	0.8208
1985-03-26	0.2000	4.5000	1.1000	5650	1.3560
1985-03-27	0.0000	6.0000	1.3000	5350	1.2840
1985-03-28	3.4000	8.7000	1.6000	4830	1.1592
1985-03-29	0.7000	6.1000	1.3000	5950	1.4280
1985-03-30	0.6000	3.5000	1.0000	6300	1.5120
1985-03-31	0.0000	6.1000	1.3000	4570	1.0968
1985-04-01	0.0000	6.5000	1.4000	4050	0.9720
1985-04-02	5.6000	6.1000	1.3000	5350	1.2840
1985-04-03	0.1000	2.1000	0.9000	6600	1.5840
1985-04-04	0.0000	1.1000	0.8000	5100	1.2240
1985-04-05	0.0000	5.8000	1.3000	5100	1.2240
1985-04-06	0.0000	8.9000	1.7000	3840	0.9216
1985-04-07	0.0000	5.0000	1.3000	3500	0.8400
1985-04-08	0.0000	2.6000	1.0000	3200	0.7680
1985-04-09	7.1000	1.4000	0.8000	3100	0.7440
1985-04-10	0.1000	0.2000	0.7000	3400	0.8160
